SKU,Description,Fixed MSRP,Component1,Component Description,Componenet FOB,Component MSRP ,Component2,Component Description,Componenet FOB,Component MSRP 
LG-BFH27,"Shaker Lunar Gray - Base Cabinet - Full Height Door-27""W x 34-1/2""H x 24""D - 2D, 1S",477,LG-DS-BFH27/W2730,Door Set LG-BFH27/W2730,29.547,229,UBX-BFH27,Cabinet Box for BFH27,33.606,248
LG-BFH30,"Shaker Lunar Gray - Base Cabinet - Full Height Door-30""W x 34-1/2""H x 24""D - 2D, 1S",513,LG-DS-BFH30/W3030,Door Set LG-BFH30/W3030,31.554,251,UBX-BFH30,Cabinet Box for BFH30,35.811,262
LG-BFH33,"Shaker Lunar Gray - Base Cabinet - Full Height Door-33""W x 34-1/2""H x 24""D - 2D, 1S",548,LG-DS-BFH33/W3330,Door Set LG-BFH33/W3330,33.561,263,UBX-BFH33,Cabinet Box for BFH33,38.025,285
LG-BFH36,"Shaker Lunar Gray - Base Cabinet - Full Height Door-36""W x 34-1/2""H x 24""D - 2D, 1S",583,LG-DS-BFH36/W3630,Door Set LG-BFH36/W3630,35.568,286,UBX-BFH36,Cabinet Box for BFH36,40.239,297
LG-BT09,"Shaker Lunar Gray - Base Cabinet - 9""W x 34-1/2""H x 24""D - 1D",289,LG-DS-BT09/W0930,Door Set LG-BT09/W0930,13.32,98,UBX-BT09,Cabinet Box for BT09,22.356,191
LG-BWB18,"Shaker Lunar Gray - Base Waste Basket - 18"" x 34 1/2 x 24",614,LG-DS-BWB18,Door Set LG-BWB18,19.26,142,UBX-BWB18,Cabinet Box for BWB18,63.459,472
LG-CSB36,"Shaker Lunar Gray - Corner Sink Base - 36""W x 34-1/2""H x 24""D",638,LG-DS-CSB36,Door Set LG-CSB36,21.951,202,UBX-CSB36,Cabinet Box for CSB36,47.079,436
LG-DFB18,"Shaker Lunar Gray - Two Drawer Base Cabinet - 18""",520,LG-DS-DFB18,Door Set LG-DFB18,19.377,130,UBX-DFB18,Cabinet Box for DFB18,58.05,390
LG-ERB33,"Shaker Lunar Gray - Easy Reach Base Cabinet - 33""W x 34-1/2""H - 1D",645,LG-DS-ERB33,Door Set LG-ERB33,25.713,211,UBX-ERB33,Cabinet Box for ERB33,52.83,434
LG-ERB36,"Shaker Lunar Gray - Easy Reach Base Cabinet - 36""W x 34-1/2""H - 1D",720,LG-DS-ERB36,Door Set LG-ERB36,29.529,242,UBX-ERB36,Cabinet Box for ERB36,58.023,478
LG-FSB36,"Shaker Lunar Gray - Farm Sink Base - 36""W X 34-1/2""H X 24""D",610,LG-DS-FSB36,Door Set LG-FSB36,33.084,331,UBX-SB36/FSB36,Cabinet Box for SB36/FSB36,32.859,279
LG-MB30,"Shaker Lunar Gray - Microwave Base Cabinet - 30""W x 34-1/2""H x 24""D -1Drw",679,LG-DS-MB30,Door Set LG-MB30,17.685,152,UBX-MB30,Cabinet Box for MB30,60.903,527
LG-MB33,"Shaker Lunar Gray - Microwave Base Cabinet - 33""W x 34-1/2""H x 24""D -1Drw",718,LG-DS-MB33,Door Set LG-MB33,19.098,164,UBX-MB33,Cabinet Box for MB33,64.242,554
LG-SB27,"Shaker Lunar Gray - Sink Base - 27""W x 34-1/2""H x 24""D - 1 False Drawer",480,LG-DS-SB27/VS27,Door Set LG-SB27/VS27,31.491,253,UBX-SB27,Cabinet Box for SB27,28.098,227
LG-SB30,"Shaker Lunar Gray - Sink Base - 30""W x 34-1/2""H x 24""D - 1 False Drawer",526,LG-DS-SB30/VS30,Door Set LG-SB30/VS30,34.479,282,UBX-SB30,Cabinet Box for SB30,29.79,244
LG-SB33,"Shaker Lunar Gray - Sink Base - 33""W x 34-1/2""H x 24""D - 2 False Drawers",562,LG-DS-SB33/VS33,Door Set LG-SB33/VS33,36.828,303,UBX-SB33,Cabinet Box for SB33,31.32,259
LG-SB36,"Shaker Lunar Gray - Sink Base - 36""W x 34-1/2""H x 24""D - 2 False Drawers",610,LG-DS-SB36/VS36,Door Set LG-SB36/VS36,39.168,331,UBX-SB36/FSB36,Cabinet Box for SB36/FSB36,32.859,279
LG-AW1230,"Shaker Lunar Gray - Angle Wall Cabinet - 12""W x 30""H x 12""D - 1D -2S",261,LG-DS-AW1230,Door Set LG-AW1230,18.9287344,161,UBX-AW1230,Cabinet Box for AW1230,11.70189066,100
LG-AW1236,"Shaker Lunar Gray - Angle Wall Cabinet - 12""W x 36""H x 12""D - 1D -2S",283,LG-DS-AW1236,Door Set LG-AW1236,21.79614001,177,UBX-AW1236,Cabinet Box for AW1236,12.92431774,106
LG-AW1242,"Shaker Lunar Gray - Angle Wall Cabinet - 12""W x 42""H x 12""D - 1D -3S",306,LG-DS-AW1242,Door Set LG-AW1242,24.68241013,184,UBX-AW1242,Cabinet Box for AW1242,16.33380399,122
LG-DCW2412GD,"Shaker Lunar Gray - Wall Diagonal Glass Door Corner Cabinet - 24""W x 12""H x 12""D - 1D -2S",235,LG-DS-DCW2412GD,Door Set LG-DCW2412GD,12.54462269,90,UBX-DCW2412,Cabinet Box for DCW2412,20.01450914,145
LG-DCW2430,"Shaker Lunar Gray - Wall Diagonal Corner Cabinet - 24""W x 30""H x 12""D - 1D -2S",508,LG-DS-DCW2430,Door Set LG-DCW2430,21.63416798,171,UBX-DCW2430,Cabinet Box for DCW2430,42.42337054,337
LG-DCW2430GD,"Shaker Lunar Gray - Wall Diagonal Glass Door Corner Cabinet - 24""W x 30""H x 12""D - 1D -2S",535,LG-DS-DCW2430GD,Door Set LG-DCW2430GD,22.55154324,198,UBX-DCW2430,Cabinet Box for DCW2430,42.42337054,337
LG-DCW2436,"Shaker Lunar Gray - Wall Diagonal Corner Cabinet - 24""W x 36""H x 12""D - 1D- 2S",573,LG-DS-DCW2436,Door Set LG-DCW2436,24.76583993,199,UBX-DCW2436,Cabinet Box for DCW2436,46.21329761,374
LG-DCW2436GD,"Shaker Lunar Gray - Wall Diagonal Glass Door Corner Cabinet - 24""W x 36""H x 12""D - 1D-2S",603,LG-DS-DCW2436GD,Door Set LG-DCW2436GD,25.87988443,229,UBX-DCW2436,Cabinet Box for DCW2436,46.21329761,374
LG-DCW2442,"Shaker Lunar Gray - Wall Diagonal Corner Cabinet - 24""W x 42""H x 12""D - 1D -3S",664,LG-DS-DCW2442,Door Set LG-DCW2442,28.84210977,225,UBX-DCW2442,Cabinet Box for DCW2442,56.15577976,439
LG-DCW2442GD,"Shaker Lunar Gray - Wall Diagonal Glass Door Corner Cabinet - 24""W x 42""H x 12""D - 1D -3S",706,LG-DS-DCW2442GD,Door Set LG-DCW2442GD,29.2301226,267,UBX-DCW2442,Cabinet Box for DCW2442,56.15577976,439
LG-MO3030,"Shaker Lunar Gray - Microwave Oven Cabinet - 30""W x 30""H x 12""D - 2D, 1S",587,LG-DS-MO3030,Door Set LG-MO3030,20.74981015,245,UBX-MO3030,Cabinet Box for MO3030,28.81274741,342
LG-MO3036,"Shaker Lunar Gray - Microwave Oven Cabinet - 30""W x 36""H x 12""D - 2D, 1S",679,LG-DS-MO3036,Door Set LG-MO3036,25.35660349,300,UBX-MO3036,Cabinet Box for MO3036,31.88040936,379
LG-MO3042,"Shaker Lunar Gray - Microwave Oven Cabinet - 30""W x 42""H x 12""D - 2D, 1S",799,LG-DS-MO3042,Door Set LG-MO3042,29.99370467,368,UBX-MO3042,Cabinet Box for MO3042,34.96825329,431
LG-W0930,"Shaker Lunar Gray - Wall Cabinet - 09""W x 30""H x 12""D - 1D -2S",201,LG-DS-BT09/W0930,Door Set LG-BT09/W0930,13.32,98,UBX-W0930,Cabinet Box for W0930,13.87404742,103
LG-W0936,"Shaker Lunar Gray - Wall Cabinet - 09""W x 36""H x 12""D - 1D -2S",219,LG-DS-W0936,Door Set LG-W0936,15.33545118,108,UBX-W0936,Cabinet Box for W0936,15.54018639,111
LG-W0942,"Shaker Lunar Gray - Wall Cabinet - 09""W x 42""H x 12""D - 1D - 3S",259,LG-DS-W0942,Door Set LG-W0942,18.29036244,129,UBX-W0942,Cabinet Box for W0942,18.27704797,130
LG-W1212GD,"Shaker Lunar Gray - Wall Cabinet - 12""W x 12""H x 12""D - 1D",119,LG-DS-W1212GD,Door Set LG-W1212GD,8.491760783,62,UBX-W1212,Cabinet Box for W1212,7.63067385,57
LG-W1230,"Shaker Lunar Gray - Wall Cabinet - 12""W x 30""H x 12""D - 1D -2S",227,LG-DS-BFH12/W1230,Door Set LG-BFH12/W1230,15.327,112,UBX-W1230,Cabinet Box for W1230,15.57122812,115
LG-W1236,"Shaker Lunar Gray - Wall Cabinet - 12""W x 36""H x 12""D - 1D -2S",261,LG-DS-W1236,Door Set LG-W1236,17.62679507,131,UBX-W1236,Cabinet Box for W1236,17.35282231,130
LG-W1242,"Shaker Lunar Gray - Wall Cabinet - 12""W x 42""H x 12""D - 1D- 3S",301,LG-DS-W1242,Door Set LG-W1242,20.87018409,151,UBX-W1242,Cabinet Box for W1242,20.52633704,150
LG-W1512GD,"Shaker Lunar Gray - Wall Cabinet - 15""W x 12""H x 12""D - 1D",134,LG-DS-W1512GD,Door Set LG-W1512GD,9.679831071,71,UBX-W1512,Cabinet Box for W1512,8.539461111,63
LG-W1530,"Shaker Lunar Gray - Wall Cabinet - 15""W x 30""H x 12""D - 1D -2S",263,LG-DS-BFH15/W1530,Door Set LG-BFH15/W1530,17.325,130,UBX-W1530,Cabinet Box for W1530,17.64800811,133
LG-W1530GD,"Shaker Lunar Gray - Wall Glass Door Cabinet - 15""W x 30""H x 12""D - 1D -2S",299,LG-DS-W1530GD,Door Set LG-W1530GD,17.90212237,166,UBX-W1530,Cabinet Box for W1530,17.64800811,133
LG-W1536,"Shaker Lunar Gray - Wall Cabinet - 15""W x 36""H x 12""D - 1D -2S",302,LG-DS-W1536,Door Set LG-W1536,19.91813895,152,UBX-W1536,Cabinet Box for W1536,19.60492317,150
LG-W1536GD,"Shaker Lunar Gray - Wall Glass Door Cabinet - 15""W x 36""H x 12""D - 1D -2S",340,LG-DS-W1536GD,Door Set LG-W1536GD,20.63688885,190,UBX-W1536,Cabinet Box for W1536,19.60492317,150
LG-W1542,"Shaker Lunar Gray - Wall Cabinet - 15""W x 42""H x 12""D - 1D - 3S",354,LG-DS-W1542,Door Set LG-W1542,23.45000575,177,UBX-W1542,Cabinet Box for W1542,23.27535054,177
LG-W1542GD,"Shaker Lunar Gray - Wall Glass Door Cabinet - 15""W x 42""H x 12""D - 1D- 3S",390,LG-DS-W1542GD,Door Set LG-W1542GD,24.31364199,213,UBX-W1542,Cabinet Box for W1542,23.27535054,177
LG-W1812GD,"Shaker Lunar Gray - Wall Cabinet - 18""W x 12""H x 12""D - 1D",154,LG-DS-W1812GD,Door Set LG-W1812GD,10.86790136,82,UBX-W1812,Cabinet Box for W1812,9.448248372,72
LG-W1830,"Shaker Lunar Gray - Wall Cabinet - 18""W x 30""H x 12""D - 1D - 2S",305,LG-DS-BFH18/W1830,Door Set LG-BFH18/W1830,19.332,150,UBX-W1830,Cabinet Box for W1830,19.7247881,155
LG-W1830GD,"Shaker Lunar Gray - Wall Glass Door Cabinet - 18""W x 30""H x 12""D - 1D -2S",348,LG-DS-W1830GD,Door Set LG-W1830GD,20.0888973,193,UBX-W1830,Cabinet Box for W1830,19.7247881,155
LG-W1836,"Shaker Lunar Gray - Wall Cabinet - 18""W x 36""H x 12""D - 1D -2S",354,LG-DS-W1836,Door Set LG-W1836,22.20948283,178,UBX-W1836,Cabinet Box for W1836,21.85702403,176
LG-W1836GD,"Shaker Lunar Gray - Wall Glass Door Cabinet - 18""W x 36""H x 12""D - 1D -2S",416,LG-DS-W1836GD,Door Set LG-W1836GD,23.15583686,240,UBX-W1836,Cabinet Box for W1836,21.85702403,176
LG-W1842,"Shaker Lunar Gray - Wall Cabinet - 18""W x 42""H x 12""D - 1D -3S",404,LG-DS-W1842,Door Set LG-W1842,26.0298274,202,UBX-W1842,Cabinet Box for W1842,26.02436404,202
LG-W1842GD,"Shaker Lunar Gray - Wall Cabinet - 18""W x 42""H x 12""D - 1D -3S",459,LG-DS-W1842GD,Door Set LG-W1842GD,27.16694845,257,UBX-W1842,Cabinet Box for W1842,26.02436404,202
LG-W2112GD,"Shaker Lunar Gray - Wall Cabinet - 21""W x 12""H x 12""D - 1D",169,LG-DS-W2112GD,Door Set LG-W2112GD,12.05597165,90,UBX-W2112,Cabinet Box for W2112,10.35703563,79
LG-W2130,"Shaker Lunar Gray - Wall Cabinet - 21""W x 30""H x 12""D - 1D -2S",336,LG-DS-BFH21/W2130,Door Set LG-BFH21/W2130,21.339,166,UBX-W2130,Cabinet Box for W2130,21.80156809,170
LG-W2136,"Shaker Lunar Gray - Wall Cabinet - 21""W x 36""H x 12""D - 1D -2S",397,LG-DS-W2136,Door Set LG-W2136,24.50082672,200,UBX-W2136,Cabinet Box for W2136,24.1091249,197
LG-W2142,"Shaker Lunar Gray - Wall Cabinet - 21""W x 42""H x 12""D - 1D -3S",443,LG-DS-W2142,Door Set LG-W2142,28.60964905,220,UBX-W2142,Cabinet Box for W2142,28.77337755,223
LG-W2412GD,"Shaker Lunar Gray - Wall Cabinet - 24""W x 12""H x 12""D - 2D",206,LG-DS-W2412GD,Door Set LG-W2412GD,15.61835308,118,UBX-W2412,Cabinet Box for W2412,11.51136164,88
LG-W2418,"Shaker Lunar Gray - Wall Cabinet - 24""W x 18""H x 12""D - 2D",287,LG-DS-W2418,Door Set LG-W2418,19.45191451,167,UBX-W2418,Cabinet Box for W2418,13.9406725,120
LG-W2430,"Shaker Lunar Gray - Wall Cabinet - 24""W x 30""H x 12""D - 2D -2S",394,LG-DS-BFH24/W2430,Door Set LG-BFH24/W2430,27.549,210,UBX-W2430/WBC2430,Cabinet Box for W2430/WBC2430,23.97126657,184
LG-W2430GD,"Shaker Lunar Gray - Wall Glass Door Cabinet - 24""W x 30""H x 12""D - 2D -2S",443,LG-DS-W2430GD,Door Set LG-W2430GD,28.35519373,259,UBX-W2430/WBC2430,Cabinet Box for W2430/WBC2430,23.97126657,184
LG-W2436,"Shaker Lunar Gray - Wall Cabinet - 24""W x 36""H x 12""D - 2D -2S",462,LG-DS-W2436,Door Set LG-W2436,31.57927765,251,UBX-W2436,Cabinet Box for W2436,26.40057742,211
LG-W2436GD,"Shaker Lunar Gray - Wall Glass Door Cabinet - 24""W x 36""H x 12""D - 2D -2S",461,LG-DS-W2436GD,Door Set LG-W2436GD,32.59151709,250,UBX-W2436,Cabinet Box for W2436,26.40057742,211
LG-W2442,"Shaker Lunar Gray - Wall Cabinet - 24""W x 42""H x 12""D - 2D -3S",539,LG-DS-W2442,Door Set LG-W2442,37.48741287,292,UBX-W2442/WBC2442,Cabinet Box for W2442/WBC2442,31.60021396,247
LG-W2442GD,"Shaker Lunar Gray - Wall Glass Door Cabinet - 24""W x 42""H x 12""D - 2D -3S",589,LG-DS-W2442GD,Door Set LG-W2442GD,38.70370057,342,UBX-W2442/WBC2442,Cabinet Box for W2442/WBC2442,31.60021396,247
LG-W2712GD,"Shaker Lunar Gray - Wall Cabinet - 27""W x 12""H x 12""D - 2D",224,LG-DS-W2712GD,Door Set LG-W2712GD,16.80642337,128,UBX-W2712,Cabinet Box for W2712,12.4201489,96
LG-W2730,"Shaker Lunar Gray - Wall Cabinet - 27""W x 30""H x 12""D - 2D -2S",431,LG-DS-BFH27/W2730,Door Set LG-BFH27/W2730,29.547,229,UBX-W2730/WBC2730,Cabinet Box for W2730/WBC2730,26.04804656,202
LG-W2736,"Shaker Lunar Gray - Wall Cabinet - 27""W x 36""H x 12""D - 2D -2S",498,LG-DS-W2736,Door Set LG-W2736,33.87062154,269,UBX-W2736/WBC2736,Cabinet Box for W2736/WBC2736,28.65267828,229
LG-W2742,"Shaker Lunar Gray - Wall Cabinet - 27""W x 42""H x 12""D - 2D -3S",555,LG-DS-W2742,Door Set LG-W2742,40.06723452,298,UBX-W2742/WBC2742,Cabinet Box for W2742/WBC2742,34.34922746,257
LG-W3012,"Shaker Lunar Gray - Wall Cabinet - 30""W x 12""H x 12""D - 2D",261,LG-DS-W3012/W301224,Door Set LG-W3012/W301224,17.70448423,148,UBX-W3012,Cabinet Box for W3012,13.32893616,113
LG-W301224,"Shaker Lunar Gray - Wall Refrigerator Cabinet-30""W x 12""H x 24""D - 2D",332,LG-DS-W3012/W301224,Door Set LG-W3012/W301224,17.70448423,148,UBX-W301224,Cabinet Box for W301224,22.86375836,184
LG-W3012GD,"Shaker Lunar Gray - Wall Glass Door Cabinet - 30""W x 12""H x 12""D - 2D",282,LG-DS-W3012GD,Door Set LG-W3012GD,17.99449365,169,UBX-W3012,Cabinet Box for W3012,13.32893616,113
LG-W3015,"Shaker Lunar Gray - Wall Cabinet - 30""W x 15""H x 12""D - 2D",293,LG-DS-W3015/W301524,Door Set LG-W3015/W301524,20.00788089,168,UBX-W3015,Cabinet Box for W3015,14.71891246,125
LG-W301524,"Shaker Lunar Gray - Wall Refrigerator Cabinet - 30""W x 15""H x 24""D - 2D",360,LG-DS-W3015/W301524,Door Set LG-W3015/W301524,20.00788089,168,UBX-W301524,Cabinet Box for W301524,24.49231137,192
LG-W3018,"Shaker Lunar Gray - Wall Cabinet - 30""W x 18""H x 12""D - 2D",322,LG-DS-W3018/W301824,Door Set LG-W3018/W301824,22.31127756,186,UBX-W3018,Cabinet Box for W3018,16.10888876,136
LG-W301824,"Shaker Lunar Gray - Wall Refrigerator Cabinet - 30""W x 18""H x 24""D - 2D",402,LG-DS-W3018/W301824,Door Set LG-W3018/W301824,22.31127756,186,UBX-W301824,Cabinet Box for W301824,26.12086437,216
LG-W3018GD,"Shaker Lunar Gray - Wall Cabinet - 30""W x 18""H x 12""D - 2D ",354,LG-DS-W3018GD,Door Set LG-W3018GD,22.89516321,218,UBX-W3018,Cabinet Box for W3018,16.10888876,136
LG-W3024,"Shaker Lunar Gray - Wall Cabinet - 30""W x 24""H x 12""D - 2D - 1S",388,LG-DS-W3024/W302424,Door Set LG-W3024/W302424,26.94837875,213,UBX-W3024,Cabinet Box for W3024,22.12600223,175
LG-W302424,"Shaker Lunar Gray - Wall Refrigerator Cabinet - 30""W x 24""H x 24""D - 2D -1S",485,LG-DS-W3024/W302424,Door Set LG-W3024/W302424,26.94837875,213,UBX-W302424,Cabinet Box for W302424,36.1134048,272
LG-W3030,"Shaker Lunar Gray - Wall Cabinet - 30""W x 30""H x 12""D - 2D -2S",476,LG-DS-BFH30/W3030,Door Set LG-BFH30/W3030,31.554,251,UBX-W3030,Cabinet Box for W3030,28.12482655,225
LG-W3030GD,"Shaker Lunar Gray - Wall Glass Door Cabinet - 30""W x 30""H x 12""D -2D-2S",525,LG-DS-W3030GD,Door Set LG-W3030GD,32.72874357,300,UBX-W3030,Cabinet Box for W3030,28.12482655,225
LG-W3036,"Shaker Lunar Gray - Wall Cabinet - 30""W x 36""H x 12""D - 2D -2S",545,LG-DS-W3036,Door Set LG-W3036,36.16196542,293,UBX-W3036,Cabinet Box for W3036,30.90477914,252
LG-W3036GD,"Shaker Lunar Gray - Wall Glass Door Cabinet - 30""W x 36""H x 12""D -2D- 2S",613,LG-DS-W3036GD,Door Set LG-W3036GD,37.62941313,361,UBX-W3036,Cabinet Box for W3036,30.90477914,252
LG-W3042,"Shaker Lunar Gray - Wall Cabinet - 30""W x 42""H x 12""D - 2D -3S",632,LG-DS-W3042,Door Set LG-W3042,42.64705617,337,UBX-W3042,Cabinet Box for W3042,37.09824097,295
LG-W3042GD,"Shaker Lunar Gray - Wall Glass Door Cabinet - 30""W x 42""H x 12""D -2D- 2S",700,LG-DS-W3042GD,Door Set LG-W3042GD,44.4103135,405,UBX-W3042,Cabinet Box for W3042,37.09824097,295
LG-W3312,"Shaker Lunar Gray - Wall Cabinet - 33""W x 12""H x 12""D - 2D",274,LG-DS-W3312/W331224,Door Set LG-W3312/W331224,18.84757346,156,UBX-W3312,Cabinet Box for W3312,14.23772342,118
LG-W331224,"Shaker Lunar Gray - Wall Refrigerator Cabinet-33""W x 12""H x 24""D - 2D",351,LG-DS-W3312/W331224,Door Set LG-W3312/W331224,18.84757346,156,UBX-W331224,Cabinet Box for W331224,24.46458174,195
LG-W3312GD,"Shaker Lunar Gray - Wall Glass Door Cabinet - 33""W x 12""H x 12""D - 2D",299,LG-DS-W3312GD,Door Set LG-W3312GD,19.18256394,181,UBX-W3312,Cabinet Box for W3312,14.23772342,118
LG-W3315,"Shaker Lunar Gray - Wall Cabinet - 33""W x 15""H x 12""D - 2D",302,LG-DS-W3315/W331524,Door Set LG-W3315/W331524,21.29426627,173,UBX-W3315,Cabinet Box for W3315,15.71536016,129
LG-W331524,"Shaker Lunar Gray - Wall Refrigerator Cabinet - 33""W x 15""H x 24""D -2D",380,LG-DS-W3315/W331524,Door Set LG-W3315/W331524,21.29426627,173,UBX-W331524,Cabinet Box for W331524,26.15086236,207
LG-W3318,"Shaker Lunar Gray - Wall Cabinet - 33""W x 18""H x 12""D - 2D",332,LG-DS-W3318/W331824,Door Set LG-W3318/W331824,23.74095909,192,UBX-W3318,Cabinet Box for W3318,17.19299689,140
LG-W331824,"Shaker Lunar Gray - Wall Refrigerator Cabinet - 33""W x 18""H x 24""D -2D",414,LG-DS-W3318/W331824,Door Set LG-W3318/W331824,23.74095909,192,UBX-W331824,Cabinet Box for W331824,27.83714297,222
LG-W3324,"Shaker Lunar Gray - Wall Cabinet - 33""W x 24""H x 12""D - 2D - 1S",396,LG-DS-W3324/W332424,Door Set LG-W3324/W332424,28.66653804,216,UBX-W3324,Cabinet Box for W3324,23.70702301,180
LG-W332424,"Shaker Lunar Gray - Wall Refrigerator Cabinet -33""W x 24""H x 24""D-2D -1S",525,LG-DS-W3324/W332424,Door Set LG-W3324/W332424,28.66653804,216,UBX-W332424,Cabinet Box for W332424,38.6352674,309
LG-W3330,"Shaker Lunar Gray - Wall Cabinet - 33""W x 30""H x 12""D - 2D -2S",501,LG-DS-BFH33/W3330,Door Set LG-BFH33/W3330,33.561,263,UBX-W3330,Cabinet Box for W3330,30.20160654,238
LG-W3336,"Shaker Lunar Gray - Wall Cabinet - 33""W x 36""H x 12""D - 2D -2S",591,LG-DS-W3336,Door Set LG-W3336,38.4533093,317,UBX-W3336,Cabinet Box for W3336,33.15688001,274
LG-W3342,"Shaker Lunar Gray - Wall Cabinet - 33""W x 42""H x 12""D - 2D -3S",674,LG-DS-W3342,Door Set LG-W3342,45.22687782,358,UBX-W3342,Cabinet Box for W3342,39.84725447,316
LG-W3612,"Shaker Lunar Gray - Wall Cabinet - 36""W x 12""H x 12""D - 2D",290,LG-DS-W3612/W361224,Door Set LG-W3612/W361224,19.99066269,164,UBX-W3612,Cabinet Box for W3612,15.14651068,126
LG-W361224,"Shaker Lunar Gray - Wall Cabinet - 36""W x 12""H x 24""D - 2D",368,LG-DS-W3612/W361224,Door Set LG-W3612/W361224,19.99066269,164,UBX-W361224,Cabinet Box for W361224,26.06540512,204
LG-W3612GD,"Shaker Lunar Gray - Wall Glass Door Cabinet - 36""W x 12""H x 12""D - 2D",317,LG-DS-W3612GD,Door Set LG-W3612GD,20.37063423,191,UBX-W3612,Cabinet Box for W3612,15.14651068,126
LG-W3615,"Shaker Lunar Gray - Wall Cabinet - 36""W x 15""H x 12""D - 2D",312,LG-DS-W3615/W361524,Door Set LG-W3615/W361524,22.58065166,179,UBX-W3615,Cabinet Box for W3615,16.71180785,133
LG-W361524,"Shaker Lunar Gray - Wall Refrigerator Cabinet - 36""W x 15""H x 24""D - 2D",393,LG-DS-W3615/W361524,Door Set LG-W3615/W361524,22.58065166,179,UBX-W361524,Cabinet Box for W361524,27.80941334,214
LG-W3618,"Shaker Lunar Gray - Wall Cabinet - 36""W x 18""H x 12""D - 2D",349,LG-DS-W3618/W361824,Door Set LG-W3618/W361824,25.17064062,202,UBX-W3618,Cabinet Box for W3618,18.27710502,147
LG-W361824,"Shaker Lunar Gray - Wall Refrigerator Cabinet - 36""W x 18""H x 24""D - 2D",428,LG-DS-W3618/W361824,Door Set LG-W3618/W361824,25.17064062,202,UBX-W361824,Cabinet Box for W361824,29.55342157,226
LG-W3624,"Shaker Lunar Gray - Wall Cabinet - 36""W x 24""H x 12""D - 2D - 1S",455,LG-DS-W3624/W362424,Door Set LG-W3624/W362424,30.38469734,248,UBX-W3624,Cabinet Box for W3624,25.28804378,207
LG-W362424,"Shaker Lunar Gray - Wall Refrigerator Cabinet - 36""W x 24""H x 24""D - 2D -1S",560,LG-DS-W3624/W362424,Door Set LG-W3624/W362424,30.38469734,248,UBX-W362424,Cabinet Box for W362424,41.15712999,312
LG-W3630,"Shaker Lunar Gray - Wall Cabinet - 36""W x 30""H x 12""D - 2D -2S",546,LG-DS-BFH36/W3630,Door Set LG-BFH36/W3630,35.568,286,UBX-W3630/WBC3630,Cabinet Box for W3630/WBC3630,32.27838653,260
LG-W3636,"Shaker Lunar Gray - Wall Cabinet - 36""W x 36""H x 12""D - 2D -2S",631,LG-DS-W3636,Door Set LG-W3636,40.74465319,337,UBX-W3636,Cabinet Box for W3636,35.40898087,294
LG-W3642,"Shaker Lunar Gray - Wall Cabinet - 36""W x 42""H x 12""D - 2D -3S",722,LG-DS-W3642,Door Set LG-W3642,47.80669948,381,UBX-W3642/WBC3642,Cabinet Box for W3642/WBC3642,42.59626798,341
LG-W3930,"Shaker Lunar Gray - Wall Cabinet - 39""W x 30""H x 12""D - 2D -2S",566,LG-DS-W3930,Door Set LG-W3930,37.59580516,295,UBX-W3930,Cabinet Box for W3930,34.38249257,271
LG-WBC2430,"Shaker Lunar Gray - Wall Blind Corner Cabinet - 24""W x 30""H x 12""D - 1D -2S",336,LG-DS-WBC2430,Door Set LG-WBC2430,25.09589566,152,UBX-W2430/WBC2430,Cabinet Box for W2430/WBC2430,23.97126657,184
LG-WBC2442,"Shaker Lunar Gray - Wall Blind Corner Cabinet - 24""W x 42""H x 12""D - 1D -3S",456,LG-DS-WBC2442,Door Set LG-WBC2442,34.38889181,209,UBX-W2442/WBC2442,Cabinet Box for W2442/WBC2442,31.60021396,247
LG-WBC2730,"Shaker Lunar Gray - Wall Blind Corner Cabinet - 27""W x 30""H x 12""D - 1D -2S",364,LG-DS-WBC2730,Door Set LG-WBC2730,25.60699046,162,UBX-W2730/WBC2730,Cabinet Box for W2730/WBC2730,26.04804656,202
LG-WBC2736,"Shaker Lunar Gray - Wall Blind Corner Cabinet - 27""W x 36""H x 12""D - 1D -2S",413,LG-DS-WBC2736,Door Set LG-WBC2736,29.81637723,184,UBX-W2736/WBC2736,Cabinet Box for W2736/WBC2736,28.65267828,229
LG-WBC2742,"Shaker Lunar Gray - Wall Blind Corner Cabinet - 27""W x 42""H x 12""D - 1D -3S",483,LG-DS-WBC2742,Door Set LG-WBC2742,34.97745211,226,UBX-W2742/WBC2742,Cabinet Box for W2742/WBC2742,34.34922746,257
LG-WBC3630,"Shaker Lunar Gray - Wall Blind Corner Cabinet - 36""W x 30""H x 12""D - 1D -2S",463,LG-DS-WBC3630,Door Set LG-WBC3630,27.14027485,203,UBX-W3630/WBC3630,Cabinet Box for W3630/WBC3630,32.27838653,260
LG-WBC3642,"Shaker Lunar Gray - Wall Blind Corner Cabinet - 36""W x 42""H x 12""D - 1D -3S",619,LG-DS-WBC3642,Door Set LG-WBC3642,35.81913823,278,UBX-W3642/WBC3642,Cabinet Box for W3642/WBC3642,42.59626798,341
LG-WD1848,"Shaker Lunar Gray - Wall With Drawer Cabinet-18""W x 48""H x 12""D- 1D, 2 DRW -2S",552,LG-DS-WD1848,Door Set LG-WD1848,31.8597614,175,UBX-WD1848,Cabinet Box for WD1848,68.35450421,377
