SKU,Description,Fixed MSRP,Component1,Component Description,Componenet FOB,Component MSRP ,Component2,Component Description,Componenet FOB,Component MSRP 
SB-BT09,"Shaker Sage Breeze - Base Cabinet - 9""W x 34-1/2""H x 24""D - 1D",289,SB-DS-BT09/W0930,Door Set SB-BT09/W0930,13.32,98,UBX-BT09,Cabinet Box for BT09,22.356,191
SB-BWB18,"Shaker Sage Breeze - Base Waste Basket - 18"" x 34 1/2 x 24",614,SB-DS-BWB18,Door Set SB-BWB18,19.26,142,UBX-BWB18,Cabinet Box for BWB18,63.459,472
SB-CSB36,"Shaker Sage Breeze - Corner Sink Base - 36""W x 34-1/2""H x 24""D",638,SB-DS-CSB36,Door Set SB-CSB36,21.951,202,UBX-CSB36,Cabinet Box for CSB36,47.079,436
SB-DFB18,"Shaker Sage Breeze - Two Drawer Base Cabinet - 18""",520,SB-DS-DFB18,Door Set SB-DFB18,19.377,130,UBX-DFB18,Cabinet Box for DFB18,58.05,390
SB-ERB33,"Shaker Sage Breeze - Easy Reach Base Cabinet - 33""W x 34-1/2""H - 1D",645,SB-DS-ERB33,Door Set SB-ERB33,25.713,211,UBX-ERB33,Cabinet Box for ERB33,52.83,434
SB-ERB36,"Shaker Sage Breeze - Easy Reach Base Cabinet - 36""W x 34-1/2""H - 1D",720,SB-DS-ERB36,Door Set SB-ERB36,29.529,242,UBX-ERB36,Cabinet Box for ERB36,58.023,478
SB-FSB36,"Shaker Sage Breeze - Farm Sink Base - 36""W X 34-1/2""H X 24""D",610,SB-DS-FSB36,Door Set SB-FSB36,33.084,331,UBX-SB36/FSB36,Cabinet Box for SB36/FSB36,32.859,279
SB-MB30,"Shaker Sage Breeze - Microwave Base Cabinet - 30""W x 34-1/2""H x 24""D -1Drw",679,SB-DS-MB30,Door Set SB-MB30,17.685,152,UBX-MB30,Cabinet Box for MB30,60.903,527
SB-MB33,"Shaker Sage Breeze - Microwave Base Cabinet - 33""W x 34-1/2""H x 24""D -1Drw",718,SB-DS-MB33,Door Set SB-MB33,19.098,164,UBX-MB33,Cabinet Box for MB33,64.242,554
SB-SB27,"Shaker Sage Breeze - Sink Base - 27""W x 34-1/2""H x 24""D - 1 False Drawer",480,SB-DS-SB27/VS27,Door Set SB-SB27/VS27,31.491,253,UBX-SB27,Cabinet Box for SB27,28.098,227
SB-SB30,"Shaker Sage Breeze - Sink Base - 30""W x 34-1/2""H x 24""D - 1 False Drawer",526,SB-DS-SB30/VS30,Door Set SB-SB30/VS30,34.479,282,UBX-SB30,Cabinet Box for SB30,29.79,244
SB-SB33,"Shaker Sage Breeze - Sink Base - 33""W x 34-1/2""H x 24""D - 2 False Drawers",562,SB-DS-SB33/VS33,Door Set SB-SB33/VS33,36.828,303,UBX-SB33,Cabinet Box for SB33,31.32,259
SB-SB36,"Shaker Sage Breeze - Sink Base - 36""W x 34-1/2""H x 24""D - 2 False Drawers",610,SB-DS-SB36/VS36,Door Set SB-SB36/VS36,39.168,331,UBX-SB36/FSB36,Cabinet Box for SB36/FSB36,32.859,279
SB-AW1230,"Shaker Sage Breeze - Angle Wall Cabinet - 12""W x 30""H x 12""D - 1D -2S",261,SB-DS-AW1230,Door Set SB-AW1230,18.9287344,161,UBX-AW1230,Cabinet Box for AW1230,11.70189066,100
SB-AW1236,"Shaker Sage Breeze - Angle Wall Cabinet - 12""W x 36""H x 12""D - 1D -2S",283,SB-DS-AW1236,Door Set SB-AW1236,21.79614001,177,UBX-AW1236,Cabinet Box for AW1236,12.92431774,106
SB-AW1242,"Shaker Sage Breeze - Angle Wall Cabinet - 12""W x 42""H x 12""D - 1D -3S",306,SB-DS-AW1242,Door Set SB-AW1242,24.68241013,184,UBX-AW1242,Cabinet Box for AW1242,16.33380399,122
SB-DCW2412GD,"Shaker Sage Breeze - Wall Diagonal Glass Door Corner Cabinet - 24""W x 12""H x 12""D - 1D -2S",235,SB-DS-DCW2412GD,Door Set SB-DCW2412GD,12.54462269,90,UBX-DCW2412,Cabinet Box for DCW2412,20.01450914,145
SB-DCW2430,"Shaker Sage Breeze - Wall Diagonal Corner Cabinet - 24""W x 30""H x 12""D - 1D -2S",508,SB-DS-DCW2430,Door Set SB-DCW2430,21.63416798,171,UBX-DCW2430,Cabinet Box for DCW2430,42.42337054,337
SB-DCW2430GD,"Shaker Sage Breeze - Wall Diagonal Glass Door Corner Cabinet - 24""W x 30""H x 12""D - 1D -2S",535,SB-DS-DCW2430GD,Door Set SB-DCW2430GD,22.55154324,198,UBX-DCW2430,Cabinet Box for DCW2430,42.42337054,337
SB-DCW2436,"Shaker Sage Breeze - Wall Diagonal Corner Cabinet - 24""W x 36""H x 12""D - 1D- 2S",573,SB-DS-DCW2436,Door Set SB-DCW2436,24.76583993,199,UBX-DCW2436,Cabinet Box for DCW2436,46.21329761,374
SB-DCW2436GD,"Shaker Sage Breeze - Wall Diagonal Glass Door Corner Cabinet - 24""W x 36""H x 12""D - 1D-2S",603,SB-DS-DCW2436GD,Door Set SB-DCW2436GD,25.87988443,229,UBX-DCW2436,Cabinet Box for DCW2436,46.21329761,374
SB-DCW2442,"Shaker Sage Breeze - Wall Diagonal Corner Cabinet - 24""W x 42""H x 12""D - 1D -3S",664,SB-DS-DCW2442,Door Set SB-DCW2442,28.84210977,225,UBX-DCW2442,Cabinet Box for DCW2442,56.15577976,439
SB-DCW2442GD,"Shaker Sage Breeze - Wall Diagonal Glass Door Corner Cabinet - 24""W x 42""H x 12""D - 1D -3S",706,SB-DS-DCW2442GD,Door Set SB-DCW2442GD,29.2301226,267,UBX-DCW2442,Cabinet Box for DCW2442,56.15577976,439
SB-MO3030,"Shaker Sage Breeze - Microwave Oven Cabinet - 30""W x 30""H x 12""D - 2D, 1S",587,SB-DS-MO3030,Door Set SB-MO3030,20.74981015,245,UBX-MO3030,Cabinet Box for MO3030,28.81274741,342
SB-MO3036,"Shaker Sage Breeze - Microwave Oven Cabinet - 30""W x 36""H x 12""D - 2D, 1S",679,SB-DS-MO3036,Door Set SB-MO3036,25.35660349,300,UBX-MO3036,Cabinet Box for MO3036,31.88040936,379
SB-MO3042,"Shaker Sage Breeze - Microwave Oven Cabinet - 30""W x 42""H x 12""D - 2D, 1S",799,SB-DS-MO3042,Door Set SB-MO3042,29.99370467,368,UBX-MO3042,Cabinet Box for MO3042,34.96825329,431
SB-W0930,"Shaker Sage Breeze - Wall Cabinet - 09""W x 30""H x 12""D - 1D -2S",201,SB-DS-BT09/W0930,Door Set SB-BT09/W0930,13.31780867,98,UBX-W0930,Cabinet Box for W0930,13.87404742,103
SB-W0936,"Shaker Sage Breeze - Wall Cabinet - 09""W x 36""H x 12""D - 1D -2S",219,SB-DS-W0936,Door Set SB-W0936,15.33545118,108,UBX-W0936,Cabinet Box for W0936,15.54018639,111
SB-W0942,"Shaker Sage Breeze - Wall Cabinet - 09""W x 42""H x 12""D - 1D - 3S",259,SB-DS-W0942,Door Set SB-W0942,18.29036244,129,UBX-W0942,Cabinet Box for W0942,18.27704797,130
SB-W1212GD,"Shaker Sage Breeze - Wall Cabinet - 12""W x 12""H x 12""D - 1D",119,SB-DS-W1212GD,Door Set SB-W1212GD,8.491760783,62,UBX-W1212,Cabinet Box for W1212,7.63067385,57
SB-W1230,"Shaker Sage Breeze - Wall Cabinet - 12""W x 30""H x 12""D - 1D -2S",227,SB-DS-BFH12/W1230,Door Set SB-BFH12/W1230,15.32256026,112,UBX-W1230,Cabinet Box for W1230,15.57122812,115
SB-W1236,"Shaker Sage Breeze - Wall Cabinet - 12""W x 36""H x 12""D - 1D -2S",261,SB-DS-W1236,Door Set SB-W1236,17.62679507,131,UBX-W1236,Cabinet Box for W1236,17.35282231,130
SB-W1242,"Shaker Sage Breeze - Wall Cabinet - 12""W x 42""H x 12""D - 1D- 3S",301,SB-DS-W1242,Door Set SB-W1242,20.87018409,151,UBX-W1242,Cabinet Box for W1242,20.52633704,150
SB-W1512GD,"Shaker Sage Breeze - Wall Cabinet - 15""W x 12""H x 12""D - 1D",134,SB-DS-W1512GD,Door Set SB-W1512GD,9.679831071,71,UBX-W1512,Cabinet Box for W1512,8.539461111,63
SB-W1530,"Shaker Sage Breeze - Wall Cabinet - 15""W x 30""H x 12""D - 1D -2S",263,SB-DS-BFH15/W1530,Door Set SB-BFH15/W1530,17.32731185,130,UBX-W1530,Cabinet Box for W1530,17.64800811,133
SB-W1530GD,"Shaker Sage Breeze - Wall Glass Door Cabinet - 15""W x 30""H x 12""D - 1D -2S",299,SB-DS-W1530GD,Door Set SB-W1530GD,17.90212237,166,UBX-W1530,Cabinet Box for W1530,17.64800811,133
SB-W1536,"Shaker Sage Breeze - Wall Cabinet - 15""W x 36""H x 12""D - 1D -2S",302,SB-DS-W1536,Door Set SB-W1536,19.91813895,152,UBX-W1536,Cabinet Box for W1536,19.60492317,150
SB-W1536GD,"Shaker Sage Breeze - Wall Glass Door Cabinet - 15""W x 36""H x 12""D - 1D -2S",340,SB-DS-W1536GD,Door Set SB-W1536GD,20.63688885,190,UBX-W1536,Cabinet Box for W1536,19.60492317,150
SB-W1542,"Shaker Sage Breeze - Wall Cabinet - 15""W x 42""H x 12""D - 1D - 3S",354,SB-DS-W1542,Door Set SB-W1542,23.45000575,177,UBX-W1542,Cabinet Box for W1542,23.27535054,177
SB-W1542GD,"Shaker Sage Breeze - Wall Glass Door Cabinet - 15""W x 42""H x 12""D - 1D- 3S",390,SB-DS-W1542GD,Door Set SB-W1542GD,24.31364199,213,UBX-W1542,Cabinet Box for W1542,23.27535054,177
SB-W1812GD,"Shaker Sage Breeze - Wall Cabinet - 18""W x 12""H x 12""D - 1D",154,SB-DS-W1812GD,Door Set SB-W1812GD,10.86790136,82,UBX-W1812,Cabinet Box for W1812,9.448248372,72
SB-W1830,"Shaker Sage Breeze - Wall Cabinet - 18""W x 30""H x 12""D - 1D - 2S",305,SB-DS-BFH18/W1830,Door Set SB-BFH18/W1830,19.33206344,150,UBX-W1830,Cabinet Box for W1830,19.7247881,155
